nama_hotel,nama_pelanggan,rating,ulasan
XYZ,Adi P.,10,Terima kasih buat staff hotel Rama Adi dan Dinni yang bantuin check in lebih cepat karena badan capek banget. Luar biasa membantu. Staff yang lain juga baik sangat membantu. Kamar-nya bersih dan nyaman pol.
XYZ,A***n,"8,5","Awalnya penasaran dgn bintangnya 4.9, tapi mmg semua servicenya kereenn... mulai dr security yg sigap, kamarnya bersih, menu sarapan variatif (hanya saja ada ulat sayurx ngikut, semoga kedepannya diperhatikan agar lebih baik lagi). but overall semuanya baguusss ğ??ğ?»ğ??ğ?» Saran dari kami, tempat gym nya kurang Dumbbell, juga spinning bike-nya tidak bisa berfungsi, dan kebersihan sayur2an sblm dimasak ğ??ğ?»ğ??ğ?» 916, 5-6april 2025."
XYZ,andri s.,10,"Kamar bersih , bantal empuk . Dan staff yg ramah"
XYZ,H budi k.,"8,4","Sesuai ekspektasi. Kamar-nya bersih, AC-nya dingin banget. Pelayanan staf-nya good. Makanan-nya enak, kolam renang-nya bersih. Next balik lagi sini."
XYZ,M***o,"9,4","Overall oke. Udah 2 kali stay di sini. Hanya saja yang kedua ini handuk satu-nya bau apek, seperti ga kering laundry-nya. Selain itu ga ada masalah."
XYZ,saridewi r.,10,Hotel ter wortit staft ramah sopan hitel bersih makanan nya gak ngadal bener2 enak
XYZ,D***u,"9,4","Transit ke Bandara Soetta, ini salah satu hotel pilihan terbaik. Lokasinya strategis di Tangerang, dekat dengan akses jalan toll. Kamar nyaman, kebersihan bagus baik di kamr ataupun kamar mandi, hotel juga tidak bising, over all Oke. Security ramah, receptionist yang cewek jg ramah. Receptionist yang cowok kurang ramah, sempat minta tolong malam-malam untuk bantuin akses tap teman yang datang ke hotel karena posisi saya baru selesai landing dan capek banget kalau harus turun (saya sudah dengan sopan pakai kata tolong ya). Tiba tiba ternyata teman di tap akses di lantai yang salah dan terjebak tidak bisa naik ataupun turun. Akhirnya sata turun ke lobby untuk kasih tau receptionist. Menurut saya bantuin akses tap tidak sesulit itu kan ya, teman juga info pas tap akses juga tidak ramah."
XYZ,Robert T. A.,10,"Akses ke hotel ini mudah, dekat jalan tol. Kalau lewat Jl. Daan Mogot memang agak lambat tergantung kepadatan. Hotelnya nyaman, bersih. Ada kolam renang buat anak dan dewasa. Ada tempat buat fitness juga. Kamar-nya ok, AC-nya dingin banget, water heater berfungsi baik. Sayang program TV-nya seperti film-film lama. Refrigerator kurang dingin, padahal bawa makanan bayi, akhirnya tetap disimpan di cooler box yang dibawa, toh kamar-nya dingin banget. Dapat kamar di pojok, kacanya lebar jadi dari atas bisa lihat sisi Timur dan Selatan. Makanannya enak. Staf-nya ramah-ramah. Nginap di sini pas bulan puasa, jadi berasa booking 1 hotel. Renang cuman sekeluarga, breakfast juga ditemani 1-2 tamu lain. Overall ok, puas sih nginap di sini. Terima kasih.."
XYZ,Abdul R.,10,bagus tempatnya dekat kemna" pelyanan nya sagat ramah kamarnya bersih
XYZ,H***n,10,"Nyaman, bersih dan aman. Akses mudah"
XYZ,Riandini A.,"9,7","Overall semua okey, rencana cuma mau 1 malem jadi nambah karena emang se nyaman itu. Kayaknya ini bakal jadi tempat staycation favorit kalo ke Tangerang. Best hotel dengan di kelasnya. Best dari segi harga, fasilitas, ukuran kamar. Dan jatuh cinta banget sama bed nya, bed sheet nya, spreinya halus banget. Kamar bersih banget, gak ada bau apa-apa. Ada lemari baju yang bantu banget kita nata baju buat dipake. Amenities lengkap dengan kualitas sikat gigi yang gak abal, tapi kurangnya ga ada shower cap. Sabun mandi dan shamponya harum. Handuk feel bersih banget, air pancurannya kenceng. Agak kurang di restorannya, kopinya kurang enak. Oleh karena itu aku pesen kopi di restorannya, Ice Americano dan Hot Americano witch is the price its not that affordable sih. 2 pesanan itu total 79rb, tapi pas dateng kopinya tetep dibawah ekspektasi. Aku sampe ragu, apakah kopi itu dari espresso atau nggak."
XYZ,elvian,10,"Saya nginap di sini karena jenguk anak kuliah di dekat-dekat hotel, proses cek in cepat, minta kamar di lantai bawah langsung di berikan, suasana dan kebersihan kamar bagus, makanan cukup variasi dan enak, padahal dengan rate segitu, tp bisa menyediakan menu variasi dan banyak pilihan, sangat recommended untuk nginap di sini lagi"
XYZ,a***a,10,"Kamar hotel nya bersih, pelayanan nya ramah tempat yang strategis dan harga afordable banget."
XYZ,SUGENG P.,10,Puas menginap di Dprima ramaj bersih makanan juga variatif kamarnya the best
XYZ,Udo S.,"8,8","kamar luas bersih wangi.. parkir luas staff ramah lobby juga besar cm tidak ada welco drink, sarapan lumayan banyak rasanya juga enak.. cm kekurangan diarea kamar mandi keramik lantai yang digunakan keramik yang licin jadi kena air licin sampe mau jatuh, terus shower nya ngehadap kepintu dan tidak ada tutup area shower kaya hotel lainya jdi air shower tidak kemana2, karena tidak ada pintu kaca diarea shower jadi air basah sampe ke kloset dan lantai licin sekali, selebihnya ok"
XYZ,P***a,10,"Deket sama Bandara n mau kemana2 juga gampang, kamarnya luas n bersih, staff hotelnya semua ramah2"
XYZ,Wawan S.,10,"Dengan harga segitu, cukup mewah. Bersih dan fasilitas enak digunakan"
XYZ,A***n,10,"hotel rekomended banget,kamar bersih dan luas harga terjangkau.Biar bintang yg berbicara dech"
XYZ,YANTO P.,10,"perjalanan bisnis yang menyenangkan,Proses cek in cepat mba resepsionisnya ramah sangat membantu, makannya enak & lezat pelayanan di restauran ramah, terimakasih Mas purnama,Mba Mufida & Mba Vera yang sudah kasih pengalaman yang menyenangkan ketika makan di restoran dan pesanan room service dengan Mas Rama yang sangat membantu dengan cepat ketika perut saya lapar,kamar lumayan bersih luas,overall excellent ğ??? Top d'prima."
XYZ,solikul i.,10,"stafnya ramah, kamar bersih, tempatnya nyaman, strategis"
XYZ,Aida U.,"8,5","Kamarnya bersih, luas lagi, kamar mandi juga bersih n luas. Breakfast nya juga ok, keren pokoknya."
XYZ,l***a,10,"hotel nya bagus, bersih, . pesan 3 kamar semuanya bersih. pelayanan nya baik. breakfast nya variannya lumayan byak ya, rasanya standar, overall puas, apalgi ada kolam renangnya, anak saya suka yg berbau air, mengingat kota jakarta yg panas nya ampunğ?¤£ğ?¤£sblmnya sdh pernah nginap juga di prima hotel mangga dua, sblm orgtua pulang ke medan diajak staycation dsini, dekat dri bandara lagi ya. mknya pilih hotel ini. jgan ragu nginap dsini ya guys."
