nama_hotel,nama_pelanggan,rating,ulasan
XYZ,Cindy C. H.,"8,5","Makanan enak seperti hotel bintang 5, cuma anak diminta bayar, it's okay. Kamar oke, staf ramah, fasilitas ok."
XYZ,L***a,"9,4",staf hotel sangat ramah memberi kamar sesuai keinginan dan memberi alternatif pilihan
XYZ,Adi P.,10,Terima kasih buat staff hotel Rama Adi dan Dinni yang bantuin check in lebih cepat karena badan capek banget. Luar biasa membantu. Staff yang lain juga baik sangat membantu. Kamar-nya bersih dan nyaman pol.
XYZ,G***a,10,bagus staff ramah pelayanan oke banget
XYZ,R***a,"9,7",pelayanan staf ramah dan makanannya enak2
XYZ,Yadi,9,"untuk staff hotel ramah2. Hanya masukan saja pas check in padahal sudah setengah 3an tp proses lumayan lama. Dan pas sudah di resepsionis tidak langsung dapet acces kamar. Harus menunggu lagi sekitar 15 menitan. Untuk kamar no complen. Hanya saja ac nya sangat kurang dingin . Untuk menu2 sarapan untuk side dish banyak macamnya dan rasa lumayan enak. Tp untuk menu nasinya,lauknya sangat kurang rasanya dan hanya ada 2 pilihan menu. yaitu protein dan tumis sayur. Oya ac di loby dan pas ditempat sarapan sangat kurang berasa dingin. over all,kedepannya bisa untuk menginap lagi disni."
XYZ,andri s.,10,"Kamar bersih , bantal empuk . Dan staff yg ramah"
XYZ,Si Geboy,10,"hotel na sangad nyaman staff na sngat ramah,, hanya saja di kamar mandi kamar cma di isi shampoo saja untuk sabun na kosong kolem renang na ada 2 yg kecil dan yg tinggi dan dket dri indomaret alfamart srta tmpat makan lain na untuk breakfast anak diatas 5 thun sudah di kenakan tmbahan biaya sbesar 90rb makanan na bervariasi dan rasa na pun jg enakğ?¥° staycation di saat liburan lebaran hrga hotel manapun naik menjulang tp worthit krna memuaskan smua nağ?¥°"
XYZ,Eka W.,10,Tingkatkan lagi pelayanan dan lebih baik
XYZ,K***l,"9,4",tempat nya bagus. nyaman dan staff nya ramah.
XYZ,Muhammad I.,10,"hotel nya nyaman,staf nya pun ramah,makanan ny pun enak banget"
XYZ,H budi k.,"8,4","Sesuai ekspektasi. Kamar-nya bersih, AC-nya dingin banget. Pelayanan staf-nya good. Makanan-nya enak, kolam renang-nya bersih. Next balik lagi sini."
XYZ,M***a,"9,7","staf hotel ramahÂ² dr mulai securty,receptionist hingga room servis. ruangan kamar ok ga sempitÂ² bgt,dpt lantai 8 view ny seru bs liat jalanan,liat bus dan kereta seliweran saran ny menu makanan utk bfast lebih variasi lg,smoga k depan ny tv sdh bs smart tv dan kolam renang bs lebih luas."
XYZ,L***I,10,"Service-nya oke banget, semua staff helpful. Overall good, pertahankan dan terus tingkatkan."
XYZ,T***y,10,"Saya menginap saat libur Lebaran 2025, hotel dalam keadaan penuh dan full-booked, staff resepesionis tetap sabar dan melayani dengan baik, meskipun ada customer yang tidak sabar mengantri. Semoga staff resepsionis selalu diberikan berkah melimpah atas kesabarannya dalam melayani customer. Terima kasih atas pelayanan terbaiknya."
XYZ,Tri H. G.,"8,2",staf baik dan sangat membantu dalam pelayanannya.
XYZ,saridewi r.,10,Hotel ter wortit staft ramah sopan hitel bersih makanan nya gak ngadal bener2 enak
XYZ,D***u,"9,4","Transit ke Bandara Soetta, ini salah satu hotel pilihan terbaik. Lokasinya strategis di Tangerang, dekat dengan akses jalan toll. Kamar nyaman, kebersihan bagus baik di kamr ataupun kamar mandi, hotel juga tidak bising, over all Oke. Security ramah, receptionist yang cewek jg ramah. Receptionist yang cowok kurang ramah, sempat minta tolong malam-malam untuk bantuin akses tap teman yang datang ke hotel karena posisi saya baru selesai landing dan capek banget kalau harus turun (saya sudah dengan sopan pakai kata tolong ya). Tiba tiba ternyata teman di tap akses di lantai yang salah dan terjebak tidak bisa naik ataupun turun. Akhirnya sata turun ke lobby untuk kasih tau receptionist. Menurut saya bantuin akses tap tidak sesulit itu kan ya, teman juga info pas tap akses juga tidak ramah."
